"BCH_LAB_CODE","LOINC_LAB_CODE"
"LAB:13815113","5646-5"
"LAB:3775927","10634-4"
"LAB:3774613","18719-5"
"LAB:3775744","85977-7"
"LAB:3774825","28660-9"
"LAB:3775548","13362-9"
"LAB:3775448","18716-1"
"LAB:3775699","40491-3"
"LAB:3774756","18719-5"
"LAB:3774759","18719-5"
"LAB:3775565","2342-4"
"LAB:34975691","18719-5"
"LAB:258248414","26435-8"
"LAB:3775909","15069-8"
"LAB:3775296","11257-3"
"LAB:3775566","18719-5"
"LAB:3774763","47938-6"
"LAB:147099210","18719-5"
"LAB:580107825","18719-5"
"LAB:3776074","18719-5"
"LAB:3727476","18719-5"
"LAB:276152981","26435-8"
"LAB:19985047","18719-5"
"LAB:3775645","2031-3"
"LAB:3775326","2701-1"
"LAB:3775061","8251-1"
"LAB:4129024","18721-1"
"LAB:13815119","49411-2"
"LAB:501520279","18716-1"
"LAB:123248799","18719-5"
"LAB:3775332","2756-5"
"LAB:3775933","2542-9"
"LAB:3776103","20636-7"
"LAB:3775564","17862-4"
"LAB:4744082","25965-5"
"LAB:3802282","6321-4"
"LAB:3775749","2885-2"
"LAB:13815116","18725-2"
"LAB:89829693","18729-4"
"LAB:3775166","1752-5"
"LAB:3774647","1833-3"
"LAB:3775112","2745-8"
"LAB:3774936","29723-4"
"LAB:3774978","18768-2"
"LAB:276152999","29495-9"
"LAB:3776019","14627-4"
"LAB:3775583","3968-5"
"LAB:3775253","18721-1"
"LAB:248037717","18719-5"
"LAB:13298848","26435-8"
"LAB:3775701","10330-9"
"LAB:147099207","19146-0"
"LAB:3775434","18719-5"
"LAB:3774941","29950-3"
"LAB:3775656","4544-3"
"LAB:3774952","18728-6"
"LAB:3775035","54374-4"
"LAB:3774657","18719-5"
"LAB:3774983","803-7"
"LAB:3774529","18725-2"
"LAB:3775449","18716-1"
"LAB:3774838","18716-1"
"LAB:3774804","47938-6"
"LAB:4744015","1906-7"
"LAB:7872582","56537-4"
"LAB:3997417","33271-8"
"LAB:3775455","6276-0"
"LAB:3775415","18719-5"
"LAB:3774948","16429-3"
"LAB:3774575","18721-1"
"LAB:3776013","18719-5"
"LAB:4744056","25862-4"
"LAB:3774661","18727-8"
"LAB:500706689","794-8"
"LAB:3775111","18767-4"
"LAB:3774833","18716-1"
"LAB:580107765","26435-8"
"LAB:537007403","30211-7"
"LAB:4744022","22657-1"
"LAB:226643304","63455-0"
"LAB:3776053","2862-1"
"LAB:3775736","86080-9"
"LAB:3997399","18719-5"
"LAB:501519815","16201-6"
"LAB:3775376","6873-4"
"LAB:19984980","26904-3"
"LAB:3775980","7425-2"
"LAB:3774985","18723-7"
"LAB:3775708","14830-4"
"LAB:3775096","1968-7"
"LAB:3775406","18719-5"
"LAB:3774875","18719-5"
"LAB:3774655","33050-6"
"LAB:3775464","6061-6"
"LAB:3818041","47938-6"
"LAB:3775081","18728-6"
"LAB:3775531","18719-5"
"LAB:3775037","14959-1"
"LAB:3775486","18768-2"
"LAB:248037694","18719-5"
"LAB:3774866","18720-3"
"LAB:3775509","19153-6"
"LAB:501519773","18728-6"
"LAB:124570356","18725-2"
"LAB:501520125","6263-8"
"LAB:123248824","53718-3"
"LAB:3775180","13590-5"
"LAB:3774584","18719-5"
"LAB:3775097","1975-2"
"LAB:3775721","18768-2"
"LAB:4744012","26596-7"
"LAB:8319791","50014-0"
"LAB:470530965","35172-6"
"LAB:258248384","57802-1"
"LAB:465755080","48720-7"
"LAB:3776033","2021-4"
"LAB:147099198","26435-8"
"LAB:3774700","18727-8"
"LAB:13298846","26435-8"
"LAB:3775178","18720-3"
"LAB:3775295","18727-8"
"LAB:3726909","2692-2"
"LAB:3774658","18719-5"
"LAB:3998844","18719-5"
"LAB:3997409","47938-6"
"LAB:3775950","18721-1"
"LAB:3775232","2571-8"
"LAB:3775242","18719-5"
"LAB:10865260","29946-1"
"LAB:3774803","6824-7"
"LAB:3774621","20495-8"
"LAB:10865253","18727-8"
"LAB:332391013","18719-5"
"LAB:3774884","33275-9"
"LAB:3775635","18767-4"
"LAB:117951506","30560-7"
"LAB:4744007","27296-3"
"LAB:3775215","4551-8"
"LAB:3775247","18719-5"
"LAB:3775134","3948-7"
"LAB:3775476","18716-1"
"LAB:3775615","2458-8"
"LAB:3775253","3801-8"
"LAB:3775405","18719-5"
"LAB:3775038","18719-5"
"LAB:3774536","18725-2"
"LAB:46528745","18721-1"
"LAB:3775481","6219-0"
"LAB:3774664","49283-5"
"LAB:3774621","18727-8"
"LAB:3775423","18719-5"
"LAB:501520107","18728-6"
"LAB:359468250","18727-8"
"LAB:3775955","18720-3"
"LAB:3776002","18716-1"
"LAB:3775009","10374-7"
"LAB:3775412","18719-5"
"LAB:3775441","6136-6"
"LAB:3775873","18723-7"
"LAB:3774792","18768-2"
"LAB:3776090","18727-8"
"LAB:3776077","19153-6"
"LAB:123248799","13811-5"
"LAB:3775704","33369-0"
"LAB:317665172","2671-6"
"LAB:3775156","2571-8"
"LAB:3775920","14115-0"
"LAB:3774902","18719-5"
"LAB:332553316","2667-4"
"LAB:13815114","18725-2"
"LAB:3775576","32722-1"
"LAB:3774761","18719-5"
"LAB:3775005","716-1"
"LAB:3775884","18719-5"
"LAB:3775861","18720-3"
"LAB:3774968","22567-2"
"LAB:501520039","18728-6"
"LAB:3776124","18719-5"
"LAB:3775483","6073-1"
"LAB:3775261","17838-4"
"LAB:4744071","25941-6"
"LAB:258248411","57802-1"
"LAB:3774487","18729-4"
"LAB:3776024","18719-5"
"LAB:3775521","18719-5"
"LAB:3774568","18728-6"
"LAB:3774832","16101-8"
"LAB:3775494","18719-5"
"LAB:3775141","49790-9"
"LAB:3774830","19728-5"
"LAB:4129025","4059-2"
"LAB:3776055","18719-5"
"LAB:3775436","18719-5"
"LAB:276153015","26435-8"
"LAB:3774609","18719-5"
"LAB:3774940","18727-8"
"LAB:3774853","18716-1"
"LAB:3775720","30451-9"
"LAB:3775225","18719-5"
"LAB:3775339","18719-5"
"LAB:52891208","66760-0"
"LAB:501520113","18716-1"
"LAB:3775162","4091-5"
"LAB:3775642","18767-4"
"LAB:4744023","18719-5"
"LAB:3775551","18767-4"
"LAB:3775110","18767-4"
"LAB:82920320","26435-8"
"LAB:3775576","18719-5"
"LAB:258248402","57802-1"
"LAB:10968838","18719-5"
"LAB:3775720","18768-2"
"LAB:4090292","18767-4"
"LAB:80390536","18767-4"
"LAB:52891214","66751-9"
"LAB:3775513","18719-5"
"LAB:12717536","6159-8"
"LAB:3774803","14660-5"
"LAB:3774701","18727-8"
"LAB:3776007","18716-1"
"LAB:4744062","25921-8"
"LAB:52891225","18720-3"
"LAB:3726100","29280-5"
"LAB:3775028","806-0"
"LAB:3774909","18719-5"
"LAB:3774958","29904-0"
"LAB:3775524","18719-5"
"LAB:3727048","18721-1"
"LAB:3775346","18719-5"
"LAB:117951548","18719-5"
"LAB:3775838","33254-4"
"LAB:3775625","18728-6"
"LAB:367461037","11526-1"
"LAB:3775339","29917-2"
"LAB:13815109","18727-8"
"LAB:3775146","18767-4"
"LAB:3775413","14882-5"
"LAB:3997406","47938-6"
"LAB:4744086","25856-6"
"LAB:3775418","1986-9"
"LAB:110844473","31209-0"
"LAB:3774515","5133-4"
"LAB:4744083","18719-5"
"LAB:3774537","32853-4"
"LAB:3775179","18720-3"
"LAB:500706695","18768-2"
"LAB:3774827","18727-8"
"LAB:580107927","18727-8"
"LAB:3776075","19153-6"
"LAB:3726232","18721-1"
"LAB:3775511","18719-5"
"LAB:117951571","18719-5"
"LAB:3775164","4090-7"
"LAB:3774695","18727-8"
"LAB:53426633","26435-8"
"LAB:3775933","18719-5"
"LAB:3774874","18719-5"
"LAB:12779988","17726-1"
"LAB:3775621","14334-7"
"LAB:13815128","18337-6"
"LAB:3775994","18716-1"
"LAB:3775986","6109-3"
"LAB:3775937","2230-1"
"LAB:3997412","47938-6"
"LAB:3774689","18727-8"
"LAB:3775107","18767-4"
"LAB:202362114","18727-8"
"LAB:3774630","18719-5"
"LAB:3774522","18719-5"
"LAB:3775531","19153-6"
"LAB:248037657","6420-4"
"LAB:3775637","2714-4"
"LAB:3775378","33983-8"
"LAB:3775800","13636-6"
"LAB:3774658","49269-4"
"LAB:3775141","18719-5"
"LAB:3774645","3607-9"
"LAB:3775614","18719-5"
"LAB:501519755","7558-0"
"LAB:3775495","18719-5"
"LAB:48874891","39486-6"
"LAB:3774476","24380-8"
"LAB:3726226","18719-5"
"LAB:3774494","50555-2"
"LAB:3775649","18719-5"
"LAB:3775998","6833-8"
"LAB:3775358","6693-6"
"LAB:4129020","18721-1"
"LAB:3775634","18767-4"
"LAB:3774468","50944-8"
"LAB:499137123","14062-4"
"LAB:264365766","26435-8"
"LAB:3775700","14821-3"
"LAB:3775328","6687-8"
"LAB:3775581","18719-5"
"LAB:3775234","18719-5"
"LAB:117951563","30233-1"
"LAB:3774938","18725-2"
"LAB:3776039","18767-4"
"LAB:3774495","57734-6"
"LAB:580107759","73690-0"
"LAB:500706689","57843-5"
"LAB:3774835","7412-0"
"LAB:7249733","26435-8"
"LAB:3775963","18768-2"
"LAB:3775135","14121-8"
"LAB:3776059","19153-6"
"LAB:511259633","18725-2"
"LAB:3775982","6265-3"
"LAB:3776133","18723-7"
"LAB:537007301","18723-7"
"LAB:142342811","13521-0"
"LAB:3774869","18719-5"
"LAB:4617647","6107-7"
"LAB:3774763","18719-5"
"LAB:3775979","18716-1"
"LAB:8741168","13513-7"
"LAB:107199065","18719-5"
"LAB:3775924","18719-5"
"LAB:13815113","18728-6"
"LAB:3775201","18721-1"
"LAB:4743990","26965-4"
"LAB:3774717","32769-2"
"LAB:3774508","18719-5"
"LAB:3776072","13362-9"
"LAB:3775699","40536-5"
"LAB:3774494","18729-4"
"LAB:82920265","47780-2"
"LAB:3775147","18767-4"
"LAB:201668260","18719-5"
"LAB:3777237","49836-0"
"LAB:4744009","26614-8"
"LAB:3775680","13516-0"
"LAB:3774871","18719-5"
"LAB:3774793","10378-8"
"LAB:3776017","18767-4"
"LAB:110718274","18725-2"
"LAB:52891218","18720-3"
"LAB:3775937","15061-5"
"LAB:3774981","7790-9"
"LAB:13815130","18727-8"
"LAB:19984979","18719-5"
"LAB:3775623","18719-5"
"LAB:3774938","38180-6"
"LAB:3775109","18767-4"
"LAB:3775995","6059-0"
"LAB:3774719","800-3"
"LAB:3774973","18719-5"
"LAB:3776046","18723-7"
"LAB:3776080","3983-4"
"LAB:11519560","26435-8"
"LAB:3775132","2885-2"
"LAB:3774986","18729-4"
"LAB:43435800","33939-0"
"LAB:63359908","18721-1"
"LAB:13298849","26435-8"
"LAB:3776019","1960-4"
"LAB:3775927","18719-5"
"LAB:45295485","18719-5"
"LAB:3774822","9522-4"
"LAB:3775717","18768-2"
"LAB:4743963","27317-7"
"LAB:3775888","1649-3"
"LAB:3998845","3125-2"
"LAB:3775021","55164-8"
"LAB:3775972","15200-9"
"LAB:126225882","18719-5"
"LAB:3774921","32639-7"
"LAB:8741176","18719-5"
"LAB:89829725","18729-4"
"LAB:3775360","3644-2"
"LAB:285955275","18720-3"
"LAB:3998833","29497-5"
"LAB:3775264","33417-7"
"LAB:117951554","30332-1"
"LAB:8741175","18719-5"
"LAB:4744088","18719-5"
"LAB:3775291","10501-5"
"LAB:46528742","18721-1"
"LAB:3775447","18719-5"
"LAB:3774514","18727-8"
"LAB:4013228","785-6"
"LAB:3774936","18725-2"
"LAB:3776049","18719-5"
"LAB:3775085","18719-5"
"LAB:117951497","30534-2"
"LAB:3775437","6019-4"
"LAB:3775768","18716-1"
"LAB:3774986","51487-7"
"LAB:3775593","19089-2"
"LAB:3776134","18723-7"
"LAB:4744039","18719-5"
"LAB:10865266","18719-5"
"LAB:511259639","1980-2"
"LAB:3774935","5005-4"
"LAB:117951533","18719-5"
"LAB:4743960","18719-5"
"LAB:3775383","5290-2"
"LAB:3775049","26455-6"
"LAB:3775291","18719-5"
"LAB:3774513","11259-9"
"LAB:285955263","56008-6"
"LAB:3775707","40490-5"
"LAB:3775196","18719-5"
"LAB:3775583","18721-1"
"LAB:3774527","12480-0"
"LAB:3775708","14828-8"
"LAB:19984976","14884-1"
"LAB:3774488","18729-4"
"LAB:3774549","18723-7"
"LAB:3775117","2777-1"
"LAB:3726232","3638-4"
"LAB:3775962","18768-2"
"LAB:3775952","4477-6"
"LAB:3775158","3094-0"
"LAB:4114928","9415-1"
"LAB:3774564","12286-1"
"LAB:3775380","18727-8"
"LAB:3775759","6033-5"
"LAB:3775369","18719-5"
"LAB:3775136","14122-6"
"LAB:4744064","25877-2"
"LAB:3775684","18768-2"
"LAB:3775119","18719-5"
"LAB:3774903","24049-9"
"LAB:3775264","18723-7"
"LAB:3775241","18719-5"
"LAB:3774591","29770-5"
"LAB:3775457","6190-3"
"LAB:3775521","19153-6"
"LAB:3775402","2179-0"
"LAB:580107747","18719-5"
"LAB:3776164","61116-0"
"LAB:3775761","18716-1"
"LAB:4129025","18721-1"
"LAB:3775729","6301-6"
"LAB:3774688","18727-8"
"LAB:3774508","19088-4"
"LAB:3775840","19255-9"
"LAB:572944193","18719-5"
"LAB:3775132","18719-5"
"LAB:3775260","83084-4"
"LAB:3774705","6914-6"
"LAB:276152990","11526-1"
"LAB:3775265","18723-7"
"LAB:107199069","13362-9"
"LAB:3775783","7656-2"
"LAB:3775115","18767-4"
"LAB:3774994","18729-4"
"LAB:3775157","12228-3"
"LAB:3775157","14447-7"
"LAB:3775161","3084-1"
"LAB:3775440","10954-6"
"LAB:4744003","18719-5"
"LAB:48874889","19258-3"
"LAB:3775271","18719-5"
"LAB:166045332","26435-8"
"LAB:3775923","3013-0"
"LAB:3775205","18727-8"
"LAB:3775897","18719-5"
"LAB:82920250","26435-8"
"LAB:3775016","33249-4"
"LAB:3774765","18719-5"
"LAB:3775773","7384-1"
"LAB:3775474","18716-1"
"LAB:3775769","7335-3"
"LAB:3997411","18719-5"
"LAB:3775351","3471-0"
"LAB:3775198","18719-5"
"LAB:3776139","18719-5"
"LAB:3775547","18719-5"
"LAB:3776018","2705-2"
"LAB:501520125","15285-0"
"LAB:3776143","18719-5"
"LAB:4009168","18719-5"
"LAB:3774899","24078-8"
"LAB:140163720","9768-3"
"LAB:3774681","18719-5"
"LAB:4013229","18723-7"
"LAB:140163714","9767-5"
"LAB:3775903","21036-9"
"LAB:3775477","6206-7"
"LAB:3775032","18719-5"
"LAB:3775890","5403-1"
"LAB:3997405","47938-6"
"LAB:3775803","18716-1"
"LAB:3774652","18727-8"
"LAB:3774686","18725-2"
"LAB:52891201","52789-5"
"LAB:3775519","18719-5"
"LAB:3727470","18719-5"
"LAB:3775691","13521-0"
"LAB:4743962","26741-9"
"LAB:3775467","6172-1"
"LAB:3774632","18719-5"
"LAB:3775316","18719-5"
"LAB:67140607","18719-5"
"LAB:12779982","26435-8"
"LAB:3775560","4485-9"
"LAB:3774650","53776-1"
"LAB:3775655","718-7"
"LAB:3775152","18721-1"
"LAB:4129023","3665-7"
"LAB:3726269","49220-7"
"LAB:413924603","18728-6"
"LAB:3774860","18724-5"
"LAB:10865266","38176-4"
"LAB:3776154","20645-8"
"LAB:63359916","18721-1"
"LAB:4744082","18719-5"
"LAB:3775163","18721-1"
"LAB:3775492","13522-8"
"LAB:3775236","20510-4"
"LAB:3775365","18719-5"
"LAB:3774827","9708-9"
"LAB:3775694","18768-2"
"LAB:3774709","6913-8"
"LAB:230547181","26435-8"
"LAB:3997402","47938-6"
"LAB:11519568","18719-5"
"LAB:117951560","18719-5"
"LAB:3775394","6766-0"
"LAB:3776182","47938-6"
"LAB:3775049","795-5"
"LAB:3775921","18719-5"
"LAB:3775745","18727-8"
"LAB:3775336","18719-5"
"LAB:7423727","18725-2"
"LAB:248741145","2145-1"
"LAB:13130300","49399-9"
"LAB:166878625","13362-9"
"LAB:3776152","18719-5"
"LAB:3775849","18719-5"
"LAB:3775318","1903-4"
"LAB:3775668","18768-2"
"LAB:48874893","18767-4"
"LAB:3775044","18768-2"
"LAB:3775561","17861-6"
"LAB:3774473","18720-3"
"LAB:110718277","18719-5"
"LAB:3775456","6037-6"
"LAB:3775477","18716-1"
"LAB:3775360","18721-1"
"LAB:43435799","33939-0"
"LAB:117951533","30358-6"
"LAB:3998811","18719-5"
"LAB:3775288","3026-2"
"LAB:12717538","18716-1"
"LAB:3775039","18719-5"
"LAB:13815131","18725-2"
"LAB:110844476","56546-5"
"LAB:3774966","34376-4"
"LAB:3775961","17713-9"
"LAB:311110419","18718-7"
"LAB:3775741","86147-6"
"LAB:3774693","18727-8"
"LAB:3776143","2130-3"
"LAB:3775701","17286-6"
"LAB:3775460","18716-1"
"LAB:3775258","5724-0"
"LAB:3774588","18719-5"
"LAB:3775139","18719-5"
"LAB:537007325","18719-5"
"LAB:8741170","49339-5"
"LAB:3774858","18724-5"
"LAB:10865259","18719-5"
"LAB:3776083","13362-9"
"LAB:3777222","2711-0"
"LAB:3774846","18716-1"
"LAB:3774718","14617-5"
"LAB:3775090","18767-4"
"LAB:3775186","3274-8"
"LAB:3776013","2243-4"
"LAB:3774643","46128-5"
"LAB:3775774","6154-9"
"LAB:3776031","18767-4"
"LAB:3774950","20519-5"
"LAB:3776026","1995-0"
"LAB:3775133","2883-7"
"LAB:3774527","18719-5"
"LAB:3775649","2284-8"
"LAB:3774983","18768-2"
"LAB:53426639","26435-8"
"LAB:89829704","50226-0"
"LAB:3774554","18723-7"
"LAB:3774506","18729-4"
"LAB:3776060","13362-9"
"LAB:3726234","18719-5"
"LAB:248037672","23878-2"
"LAB:3775580","18719-5"
"LAB:3775427","18719-5"
"LAB:233650225","18727-8"
"LAB:3775537","19153-6"
"LAB:3775122","2820-9"
"LAB:3775092","3319-1"
"LAB:285955256","56011-0"
"LAB:3775980","18716-1"
"LAB:3774990","51485-1"
"LAB:3775720","751-8"
"LAB:123248762","13741-4"
"LAB:3776066","18719-5"
"LAB:34975685","18719-5"
"LAB:3774752","47938-6"
"LAB:3775714","751-8"
"LAB:3774959","18720-3"
"LAB:208549460","18719-5"
"LAB:3775947","18727-8"
"LAB:3775472","18716-1"
"LAB:3777221","18767-4"
"LAB:12777359","18727-8"
"LAB:3775358","18719-5"
"LAB:4744080","18719-5"
"LAB:166059583","2179-0"
"LAB:3775366","18719-5"
"LAB:3774750","18719-5"
"LAB:3726148","5157-3"
"LAB:3775612","18767-4"
"LAB:3775764","6259-6"
"LAB:501520007","14038-4"
"LAB:3776021","11555-0"
"LAB:3775930","14804-9"
"LAB:3776073","19153-6"
"LAB:3775510","18719-5"
"LAB:3774685","18725-2"
"LAB:3774593","26435-8"
"LAB:63388643","3013-0"
"LAB:4744057","18719-5"
"LAB:4744086","18719-5"
"LAB:3776098","18767-4"
"LAB:3775453","18716-1"
"LAB:3775759","18716-1"
"LAB:3776040","18767-4"
"LAB:3774474","18720-3"
"LAB:208493287","24377-4"
"LAB:67140614","26435-8"
"LAB:580107789","48404-8"
"LAB:3774937","18725-2"
"LAB:359468232","22322-2"
"LAB:3775097","18719-5"
"LAB:67105081","18719-5"
"LAB:3775789","7718-0"
"LAB:466943803","86039-5"
"LAB:3775545","19153-6"
"LAB:248037700","18719-5"
"LAB:147099201","32366-7"
"LAB:3774542","6955-9"
"LAB:264365779","26435-8"
"LAB:3774962","18721-1"
"LAB:3775702","40539-9"
"LAB:537007343","18719-5"
"LAB:3775886","2162-6"
"LAB:3775079","18728-6"
"LAB:3774496","18729-4"
"LAB:3774976","18768-2"
"LAB:3775699","14847-8"
"LAB:3776081","18721-1"
"LAB:3775718","706-2"
"LAB:3775549","19153-6"
"LAB:501519803","18716-1"
"LAB:3775456","18716-1"
"LAB:3775048","14811-4"
"LAB:110844473","18727-8"
"LAB:4114932","13362-9"
"LAB:3775703","53516-1"
"LAB:3998836","26435-8"
"LAB:3775149","2711-0"
"LAB:3776076","18719-5"
"LAB:34975693","18719-5"
"LAB:19985057","18719-5"
"LAB:380400825","63453-5"
"LAB:3775222","13965-9"
"LAB:3775929","18719-5"
"LAB:285955219","18720-3"
"LAB:580107927","23933-5"
"LAB:3775575","56912-9"
"LAB:13815115","49065-6"
"LAB:13815133","18725-2"
"LAB:3726732","14118-4"
"LAB:3775098","14152-3"
"LAB:3775587","12191-3"
"LAB:3777232","18718-7"
"LAB:123248815","18719-5"
"LAB:107199069","18719-5"
"LAB:3774509","18719-5"
"LAB:3774759","47938-6"
"LAB:3775071","18721-1"
"LAB:3775162","18721-1"
"LAB:580107915","73691-8"
"LAB:117951560","30349-5"
"LAB:43435804","18719-5"
"LAB:3775153","18721-1"
"LAB:3775126","2703-7"
"LAB:10865268","29899-2"
"LAB:8741168","18723-7"
"LAB:3726148","18727-8"
"LAB:3774944","18720-3"
"LAB:40450540","18719-5"
"LAB:3774955","16254-5"
"LAB:3775177","4680-5"
"LAB:3774950","3394-4"
"LAB:3997392","47938-6"
"LAB:3775510","13362-9"
"LAB:3775975","6048-3"
"LAB:7524348","18725-2"
"LAB:3775843","2708-6"
"LAB:3776003","18716-1"
"LAB:3726745","18721-1"
"LAB:3774633","17522-4"
"LAB:4744044","9453-2"
"LAB:501519597","59590-0"
"LAB:3775591","18719-5"
"LAB:3775288","18719-5"
"LAB:3775795","18716-1"
"LAB:3775063","18767-4"
"LAB:3998851","18719-5"
"LAB:48874890","8310-5"
"LAB:3774541","6954-2"
"LAB:3775327","18719-5"
"LAB:3774991","18729-4"
"LAB:3775436","1657-6"
"LAB:152732715","18719-5"
"LAB:3775699","13836-2"
"LAB:9879046","18725-2"
"LAB:107199040","18719-5"
"LAB:580107783","18719-5"
"LAB:3775237","9738-6"
"LAB:3775611","4548-4"
"LAB:3774893","2915-7"
"LAB:3774576","18728-6"
"LAB:501520255","18728-6"
"LAB:3775559","2344-0"
"LAB:233650228","3182-3"
"LAB:83136765","18727-8"
"LAB:3775128","18767-4"
"LAB:3775269","20433-9"
"LAB:3775519","19153-6"
"LAB:4129027","18721-1"
"LAB:3775210","6303-2"
"LAB:3774647","18719-5"
"LAB:19984980","18719-5"
"LAB:3727415","11253-2"
"LAB:3726067","18719-5"
"LAB:466943849","40963-1"
"LAB:13815115","24006-9"
"LAB:3775654","789-8"
"LAB:3726732","18719-5"
"LAB:4744039","26602-3"
"LAB:4744009","18719-5"
"LAB:3775758","7091-2"
"LAB:3774872","53803-3"
"LAB:4744080","9325-2"
"LAB:537007385","18729-4"
"LAB:7872580","23905-3"
"LAB:285955225","18720-3"
"LAB:3776016","10582-5"
"LAB:3775333","18727-8"
"LAB:3775856","4545-0"
"LAB:4743990","18719-5"
"LAB:19985055","18719-5"
"LAB:3775301","7458-3"
"LAB:3774709","18727-8"
"LAB:3775468","18716-1"
"LAB:285955237","5996-4"
"LAB:3775967","785-6"
"LAB:3775954","3669-9"
"LAB:3776059","18719-5"
"LAB:3774657","50948-9"
"LAB:3775235","13458-5"
"LAB:3775418","18719-5"
"LAB:3775024","31437-7"
"LAB:10865269","18719-5"
"LAB:3775488","18768-2"
"LAB:3726680","18721-1"
"LAB:3775747","86024-7"
"LAB:53426631","26435-8"
"LAB:3776182","18723-7"
"LAB:3776096","1927-3"
"LAB:466943873","40969-8"
"LAB:3775392","13463-5"
"LAB:3775194","3226-8"
"LAB:3776021","1925-7"
"LAB:4671016","18719-5"
"LAB:11551902","18721-1"
"LAB:3775078","14316-4"
"LAB:359468238","18727-8"
"LAB:3774491","50558-6"
"LAB:3775931","2536-1"
"LAB:3775497","18719-5"
"LAB:466943855","86052-8"
"LAB:3774597","26435-8"
"LAB:3775328","18719-5"
"LAB:258248387","26435-8"
"LAB:3774544","18727-8"
"LAB:3997412","18719-5"
"LAB:3775392","18719-5"
"LAB:3775741","27113-0"
"LAB:124570356","16276-8"
"LAB:13815114","49428-6"
"LAB:3774764","18719-5"
"LAB:3802288","19087-6"
"LAB:3774498","33051-4"
"LAB:240259507","18768-2"
"LAB:11519565","25474-8"
"LAB:3775785","7756-0"
"LAB:550968557","18721-1"
"LAB:3775478","6071-5"
"LAB:3776007","6288-5"
"LAB:3775642","2616-1"
"LAB:140163723","9765-9"
"LAB:40450547","18719-5"
"LAB:27181134","18718-7"
"LAB:511259705","13362-9"
"LAB:3776004","18716-1"
"LAB:3776099","21027-8"
"LAB:3775323","3086-6"
"LAB:3775727","18720-3"
"LAB:34975684","18719-5"
"LAB:12779987","18727-8"
"LAB:3774476","18720-3"
"LAB:3774675","18721-1"
"LAB:3775619","2472-9"
"LAB:3775355","5681-2"
"LAB:67140607","34360-8"
"LAB:3775487","18768-2"
"LAB:3775902","18719-5"
"LAB:8741170","49336-1"
"LAB:3775250","44448-9"
"LAB:3774723","29263-1"
"LAB:3776107","18719-5"
"LAB:580107837","27164-3"
"LAB:4743994","18719-5"
"LAB:3775373","18719-5"
"LAB:3775392","13824-8"
"LAB:3997394","18719-5"
"LAB:3774613","10970-2"
"LAB:3726284","2333-3"
"LAB:500706689","57842-7"
"LAB:12779984","18727-8"
"LAB:3775389","5763-8"
"LAB:80390539","33037-3"
"LAB:3998843","18719-5"
"LAB:3775245","26437-4"
"LAB:3818038","49285-0"
"LAB:3775480","6039-2"
"LAB:3775556","19087-6"
"LAB:620293641","53814-0"
"LAB:3774472","18720-3"
"LAB:166045323","18727-8"
"LAB:3775264","2749-0"
"LAB:4744041","22647-2"
"LAB:501519791","6090-5"
"LAB:3774461","18767-4"
"LAB:501519761","16195-0"
"LAB:13815121","25822-8"
"LAB:511259687","76651-9"
"LAB:3774717","18719-5"
"LAB:3774511","4532-8"
"LAB:3774828","18727-8"
"LAB:3775445","6765-2"
"LAB:3775960","18721-1"
"LAB:3775515","18719-5"
"LAB:3775199","18719-5"
"LAB:3776079","18721-1"
"LAB:501519701","18716-1"
"LAB:110718281","2334-1"
"LAB:466943852","40974-8"
"LAB:4744015","26603-1"
"LAB:3775889","18719-5"
"LAB:3775636","55782-7"
"LAB:3775707","18768-2"
"LAB:3776147","18719-5"
"LAB:3775701","40521-7"
"LAB:3775117","18719-5"
"LAB:3726130","10535-3"
"LAB:3775098","56906-1"
"LAB:8741176","19153-6"
"LAB:3997396","18719-5"
"LAB:645094559","29591-5"
"LAB:3775599","18721-1"
"LAB:3775710","18768-2"
"LAB:501519743","6178-8"
"LAB:3818040","18719-5"
"LAB:3775534","18719-5"
"LAB:4744033","18719-5"
"LAB:3775420","18719-5"
"LAB:3774990","18729-4"
"LAB:27181133","18718-7"
"LAB:4744054","18719-5"
"LAB:3775139","2324-2"
"LAB:3726269","18719-5"
"LAB:4009167","2947-0"
"LAB:3775352","18719-5"
"LAB:3775940","18721-1"
"LAB:3775586","18719-5"
"LAB:3775905","18721-1"
"LAB:3774884","18719-5"
"LAB:3775034","35593-3"
"LAB:117951503","30358-6"
"LAB:3998841","31151-4"
"LAB:222053986","18719-5"
"LAB:3774480","18723-7"
"LAB:3775712","38256-4"
"LAB:3775737","27094-2"
"LAB:3775093","3320-9"
"LAB:4743987","18719-5"
"LAB:3774755","18719-5"
"LAB:3775575","59038-0"
"LAB:258248399","57802-1"
"LAB:311110413","18725-2"
"LAB:3775517","19153-6"
"LAB:3775451","41397-1"
"LAB:501519975","18716-1"
"LAB:4744011","1911-7"
"LAB:3774706","6920-3"
"LAB:3775435","1657-6"
"LAB:11519561","18727-8"
"LAB:3775160","5918-8"
"LAB:3775646","18767-4"
"LAB:89829733","18729-4"
"LAB:3775538","13362-9"
"LAB:3775278","18719-5"
"LAB:3775133","18719-5"
"LAB:3775271","20448-7"
"LAB:10865267","13440-3"
"LAB:3775600","3663-2"
"LAB:3774488","5767-9"
"LAB:3774502","10333-3"
"LAB:3775151","18721-1"
"LAB:511259657","2494-3"
"LAB:4744052","18719-5"
"LAB:107503849","18719-5"
"LAB:3775099","18719-5"
