"BCH_LAB_CODE","LOINC_LAB_CODE"
"LAB:359468278","5193-8"
"LAB:3775555","18719-5"
"LAB:43291306","18768-2"
"LAB:285955256","18720-3"
"LAB:3774689","5103-7"
"LAB:3774876","18719-5"
"LAB:3774826","32217-2"
"LAB:167153359","18719-5"
"LAB:3775414","18719-5"
"LAB:3775124","18767-4"
"LAB:85969525","18719-5"
"LAB:3775055","18719-5"
"LAB:4744044","18719-5"
"LAB:11519563","23991-3"
"LAB:3775639","18767-4"
"LAB:413924585","16252-9"
"LAB:3775153","4058-4"
"LAB:3775266","17849-1"
"LAB:501519815","3886-9"
"LAB:501519743","18716-1"
"LAB:3725907","22666-2"
"LAB:3775204","18727-8"
"LAB:3775592","19153-6"
"LAB:3818044","18719-5"
"LAB:3774873","18725-2"
"LAB:276152990","18725-2"
"LAB:332553292","2217-8"
"LAB:501519707","6244-8"
"LAB:4744061","25975-4"
"LAB:40450532","29158-3"
"LAB:3775469","6035-0"
"LAB:37984177","18718-7"
"LAB:501519963","6226-5"
"LAB:4744238","22648-0"
"LAB:3775489","18768-2"
"LAB:3775447","1854-9"
"LAB:3775724","5902-2"
"LAB:3774909","1818-4"
"LAB:3775623","14804-9"
"LAB:3776101","18720-3"
"LAB:3776149","18719-5"
"LAB:3775114","18767-4"
"LAB:3775751","18719-5"
"LAB:3775575","9618-0"
"LAB:3774674","18721-1"
"LAB:3775472","6081-4"
"LAB:3726965","18725-2"
"LAB:10865263","18719-5"
"LAB:3775124","2744-1"
"LAB:537007289","39803-2"
"LAB:258248366","26435-8"
"LAB:10865271","62343-9"
"LAB:285955247","18720-3"
"LAB:3776053","18719-5"
"LAB:3775752","18719-5"
"LAB:413924606","16250-3"
"LAB:3775554","18719-5"
"LAB:3775573","18719-5"
"LAB:3774523","18719-5"
"LAB:3775350","13829-7"
"LAB:27181104","21551-7"
"LAB:40450548","34319-4"
"LAB:3775221","18723-7"
"LAB:52891176","18720-3"
"LAB:3774899","55912-0"
"LAB:53426628","26435-8"
"LAB:123248762","18719-5"
"LAB:8741169","3126-0"
"LAB:3774798","49580-4"
"LAB:82920323","48162-2"
"LAB:332553309","11046-0"
"LAB:3775917","1809-3"
"LAB:3775256","18719-5"
"LAB:107199034","26707-0"
"LAB:7872581","18721-1"
"LAB:13815105","18727-8"
"LAB:501519707","18716-1"
"LAB:3775926","1982-8"
"LAB:3775685","18768-2"
"LAB:3775559","18719-5"
"LAB:3775302","18716-1"
"LAB:43435799","18719-5"
"LAB:3775287","11580-8"
"LAB:3774710","6919-5"
"LAB:4009169","18719-5"
"LAB:3776004","6223-2"
"LAB:4744004","27904-2"
"LAB:501520297","18716-1"
"LAB:3775511","19153-6"
